Taller (Enfoque),Objetivo,Técnicas de Aplicación (ATs)
1. Mi Rol y Desafío Personal,"Que cada participante rompa la barrera del pensamiento lógico y exprese su perspectiva interna, rol o desafío personal a través de metáforas, liberando el conocimiento inconsciente.",AT 1
2. Identidad y Visión de Equipo,"Crear una identidad común y un compromiso grupal donde todos los miembros se sientan representados en una visión unificada, logrando un consenso real.","AT 1, AT 2"
3. Mapeo del Ecosistema Organizacional,"Visualizar el ecosistema completo del proyecto u organización, comprendiendo la posición del equipo respecto a todos los demás actores (clientes, competencia, jefes).","AT 1, AT 2, AT 3"
4. Diagnóstico de Flujos y Fricción,"Identificar las dependencias, los flujos de comunicación y los puntos de fricción que existen entre los diferentes elementos del paisaje creado.","AT 3, AT 4"
5. Análisis de Vulnerabilidad Sistémica,"Ver el negocio o el desafío como un organismo vivo, examinando la complejidad para precisar los cuellos de botella y las áreas de tensión sistémica.","AT 1, AT 4, AT 5"
6. Clarificación de Roles y Relaciones,"Utilizar modelos individuales y las conexiones sistémicas para clarificar roles, dependencias y dinámicas de relación dentro del equipo.","AT 1, AT 2, AT 4"
7. Laboratorio de Resiliencia y Crisis,"Probar la resiliencia del equipo y la solidez de su sistema ante crisis o escenarios hipotéticos inesperados, observando la toma de decisiones bajo presión.","AT 5, AT 6"
8. Extracción de la Estrategia Emergente,Destilar la sabiduría y las lecciones aprendidas de las simulaciones (AT 6) en reglas de oro concisas que guíen la toma de decisiones diaria (acción autónoma).,"AT 6, AT 7"
9. Desarrollo Integral de Liderazgo,"Utilizar la expresión individual, la identidad compartida y el análisis de interdependencias para crear una hoja de ruta clara para el desarrollo de líderes.","AT 1, AT 2, AT 4, AT 7"
10. Estrategia Completa y Compromiso,"Recorrer el ciclo completo de la metodología para generar una visión sistémica, probar su resiliencia ante el futuro y extraer los principios rectores que aseguren la implementación y el compromiso.","AT 1, AT 2, AT 3, AT 4, AT 5, AT 6, AT 7"
