Nivel,Duración Estimada,Taller (Enfoque)
Fundacional,3 horas,1. Mi Rol y Desafío Personal
,4 horas,2. Identidad y Visión de Equipo
,5 horas,3. Mapeo del Ecosistema Organizacional
,4 - 5 horas,4. Diagnóstico de Flujos y Fricción
,6 horas,5. Análisis de Vulnerabilidad Sistémica
,5 horas,6. Clarificación de Roles y Relaciones
Intermedio,6 horas,7. Laboratorio de Resiliencia y Crisis
,3 - 4 horas,8. Extracción de la Estrategia Emergente
,1 día (6 - 8 horas),9. Desarrollo Integral de Liderazgo
Avanzado ,2 días (12 - 16 horas),10. Estrategia Completa y Compromiso
